Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,AFE,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.001660224205023,0.000680148970214,0.000215464913087,0.000991429992334,0.001032162911239,0.001291386891862,0.001430733293082,0.000883176325062,0.000838805491205,0.000780139279346,0.003867544412079,0.006093860628908,0.00538712399902,0.007193373831942,0.00849266669606,0.007475754431455,0.008467970714448,0.007803713057176,0.004731931732108,0.010173263660805,0.019257456677272,0.032637890581585,0.031806186743095,0.018768604844593,0.036283766921085,0.048888538674268,0.062996186990418,0.063788917393379,0.073266038959356,0.062789810852728,0.074929072871211,0.11236212006482,0.11872698128127,0.112952517707082,0.106590451408729,0.075195961404307,0.04504364914486,0.062323544530269,0.154683549356375,0.122018591840254,0.09169682288733,
Afganistán,AFG,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.004151741330104,0.047521356001295,0.168561176429882,0.440258100135044,0.561074338851588,0.551145617946074,0.266674769820192,0.399773787375365,0.548732068203072,0.175109038282014,,,,,,,,,,,,,,,,,,,,,0.032334443270172,0.011594132334422,0.01048715520156,0.01287303981356,0.015267756403387,0.015350925871914,0.016542365138513,0.01115127935181,0.035487490964678,0.06918218345178,0.060241929639505,0.043914721875509,0.043972856198222,0.040679492328055,0.02708764514189,0.029788331901121,0.043277984985475,0.025900460612261,0.011280483089618,
,AFW,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0.000340262043034,0.000437293981617,0.000716146726491,0.00147130501123,0.004744722918753,0.005113307035046,0.006723549709553,0.007100717791088,0.015760011422875,0.014282112434364,0.005033254544433,0.001577655512523,0.010053751929327,0.011244065105019,0.010151919766386,0.014065774733373,0.009368331262082,0.010433254594507,0.015175039837069,0.011673701322611,0.024287160830432,0.020003981024433,0.035487640630544,0.034798672015729,0.031622974626992,0.040026548476581,0.042321317788836,0.032210872817553,0.045751920476219,0.205913097858426,0.327019868781332,0.31489976681564,0.375110906899013,0.344321151898553,0.353936074905985,0.443757893712517,0.553715466375854,0.590787637530023,0.472215628788985,0.655369207822396,1.16313605467156,1.16613772714563,0.840219026470216,0.938270199920886,0.691918649445418,0.370112323088929,0.606985194933056,1.02829402672596,0.709090992926382,0.60860776789508,
Angola,AGO,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.042118195958112,0.019764477019879,0.006007065341732,0.027722437722434,0.024951749119564,0.021577801312092,0.028570678201173,0.018820549272303,0.018561412692195,0.015823614514981,0.0176621285129,,,,0.109153484339368,0.07401486865993,0.066744654538921,0.070385150752274,0.05427720864551,0.097383106636552,0.145019057569245,0.175644775347791,0.116986698462413,0.118567263890819,0.114842911291596,0.077121030363453,0.078350591690722,0.087730314879244,0.065181018199046,0.0768377454666,0.086466392772612,0.116737355360052,0.106025279000388,0.11005116574923,0.081408074396288,0.061622408934603,0.083904135806224,0.185469588915806,0.776805838952982,0.715059290075258,0.781882427406069,
Albania,ALB,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0.507975072978791,0.447395927487987,0.483373914270149,0.32275935348515,0.520341776193707,0.50315838720579,0.310343935800999,0.265031839106115,0.22551167885103,0.041192463880694,0.021684215765364,0.017144546425781,0.016092209567655,0.015302827364554,0.008382264265496,0.003414618903565,0.025228131076177,0.041958233192234,0.029406441876119,0.024835624507577,0.017137358116411,0.015881966617561,0.027418357125185,0.008256044861592,0.031403494832647,0.029003553607817,0.00763443281012,0.010788443554031,0.020156935575673,0.020859058825116,0.024550744115836,0.021496118415185,0.016526471644324,0.025784212661768,0.028399597556656,0.020313777675846,0.018016179578168,
Andorra,AND,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.013435579861083,0.00609062009957,0.007162483931097,0.014532190794108,0.022799125310499,0.078232759115706,0.078411807904629,0.115628866644497,0.172512485397536,0.322443715708288,0.278265962145584,0.151047282352301,0.034893332040967,0.315865174726823,0.330909236274657,0.389066732084292,0.408672975900004,0.291305222870871,0.298284928403312,0.306985269958684,0.274452623805707,0.351380651932812,0.308178266815286,0.407661741679043,0.309363041931796,0.367155278431243,0.459540829829753,0.55141826536096,0.466682610536516,0.404345004539759,0.721285823459137,0.925694967533517,0.782954303988585,0.777143450304911,0.785571198574422,1.0748920662316,1.25759844683887,1.28801950147431,1.28824364966514,1.40899995528976,1.13116835242986,1.806010177633,1.87651912790448,1.93661280144896,1.75790502386639,1.26279631608816,0.709714541368803,0.797556725506794,1.09054477363158,0.811431971878432,0.674002398667639,
Emiratos Árabes Unidos,ARE,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,0.071054100901072,0.070627016715379,0.162294915591243,0.297057284822342,0.446327316891375,0.420317474783413,0.221193304866847,0.047009316583536,0.330796433226011,0.407947637639291,0.534850166450056,0.653720950164696,0.478377266477701,0.451181257229924,0.468816197497501,0.478434298063277,0.504099442168162,0.372496210221231,0.483617063249308,0.393117914223192,0.503340963736674,0.636435120467352,0.75139216429444,0.622363304635988,0.516138440860987,0.787847476499788,0.982994409168147,0.821900047792186,0.78138736511701,0.770200790552683,1.02083357282146,1.10419421657219,1.10841485980539,1.06643012735793,1.21359649263957,0.928359069639305,1.27606825072815,1.35168967785615,1.35235794968664,1.19630139548736,0.922662614879232,0.508840023023232,0.540899305521615,0.692937467763984,0.520151273451501,0.431644073479002,
Argentina,ARG,Renta del gas natural (% del PIB),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.018268942047256,0.021560537295225,0.015632944685818,0.012466086051949,0.020131813923108,0.060935374424211,0.051820848431676,0.019838128393196,0.02586031730499,0.078682317697092,0.156655326087281,0.150607771445469,0.068574925491326,0.168019036695919,0.210239159325904,0.193989602871175,0.157171432811972,0.109461732325024,0.117956798136,0.281529262383657,0.161256088060486,0.130224647899799,0.095013016094998,0.112240576592208,0.092005970816058,0.102321953208996,0.12063257790675,0.121280703028331,0.108434960073307,0.160224009021368,0.25243364239999,0.272676419268517,0.711232296898934,0.622413216954007,0.558894846712387,0.609336059709939,0.64910297100608,0.520544944030876,0.470345062799099,0.504977379073113,0.347557722925055,0.425871089924054,0.462857173329632,0.457940045497852,0.350329193696276,0.199750793969219,0.138811573994729,0.174837578955599,0.378955685806439,0.344032666838489,0.270940769035641,
